mcc,mcc_name,gen_name,logo
11,COMMERCE BANK ODP P,agricultural_services,static/icons/agricultural_services.png
701,POSTAGE TRANSACTION CHARGE A,agricultural_services,static/icons/agricultural_services.png
742," Veterinary Services V, M",agricultural_services,static/icons/agricultural_services.png
763," Agricultural Cooperatives V, M",agricultural_services,static/icons/agricultural_services.png
780," Horticultural and Landscaping Services V, M",agricultural_services,static/icons/agricultural_services.png
1520," General Contractors–Residential and Commercial V, M",contracted_services,static/icons/contracted_services.png
1711," Air Conditioning, Heating and Plumbing Contractors V, M",contracted_services,static/icons/contracted_services.png
1731," Electrical Contractors V, M",contracted_services,static/icons/contracted_services.png
1740," Insulation, Masonry, Plastering, Stonework and Tile Setting Contractors",contracted_services,static/icons/contracted_services.png
1750," Carpentry Contractors V, M",contracted_services,static/icons/contracted_services.png
1761," Roofing and Siding, Sheet Metal Work Contractors V, M",contracted_services,static/icons/contracted_services.png
1771," Concrete Work Contractors V, M",contracted_services,static/icons/contracted_services.png
1799," Contractors, Special Trade Contractors–not elsewhere classified",contracted_services,static/icons/contracted_services.png
2741," Miscellaneous Publishing and Printing V, M",contracted_services,static/icons/contracted_services.png
2791," Typesetting, Plate Making and Related Services V, M",contracted_services,static/icons/contracted_services.png
2842," Sanitation, Polishing and Specialty Cleaning Preparations",contracted_services,static/icons/contracted_services.png
3001," American Airlines V, M AMERICAN AIR (V) AMERICAN (M)",airlines,static/icons/airlines.png
3003," Eurofly V, M EUROFLY AIR (V) EUROFLY (M)",airlines,static/icons/airlines.png
3005," British Airways V, M BRITISH AWYS (V) BRITISH A (M)",airlines,static/icons/airlines.png
3007," Air France V, M AIR FRANCE (V) AIR FRAN (M)",airlines,static/icons/airlines.png
3009," Air Canada V, M AIR CANADA (V) AIR CAN (M)",airlines,static/icons/airlines.png
3011," Aeroflot V, M AEROFLOT",airlines,static/icons/airlines.png
3013," Alitalia V, M ALITALIA",airlines,static/icons/airlines.png
3015," Swiss International Air Lines V, M SWISSINTAIR (V) SWISS (M)",airlines,static/icons/airlines.png
3017," South African Airways V, M SAA AIRWAYS (V) SAFRICAN (M)",airlines,static/icons/airlines.png
3018," Varig V, M VARIG",airlines,static/icons/airlines.png
3019, Germanwings TSYS GRMNWNGSAIR,airlines,static/icons/airlines.png
3020," Air India V, M AIR-INDIA (V) AIR-INDI (M)",airlines,static/icons/airlines.png
3021," Air Algerie V, M AIR ALGERIE (V) AIRALGER (M)",airlines,static/icons/airlines.png
3022," Philippine Airlines V, M PAL AIR",airlines,static/icons/airlines.png
3023," Mexicana V, M MEXICANA",airlines,static/icons/airlines.png
3024," Pakistan International V, M PAKISTAN AIR (V) PAKISTAN (M)",airlines,static/icons/airlines.png
3025," Air New Zealand Ltd. International V, M AIR NZ",airlines,static/icons/airlines.png
3026," Emirates Airlines V, M EMIRATES",airlines,static/icons/airlines.png
3027," Union De Transports Aeriens (UTA/interair) V, M UTA AIRLINE (V) UTAAIR (M)",airlines,static/icons/airlines.png
3028," Air Malta V, M AIR MALTA (V) AIRMALTA (M)",airlines,static/icons/airlines.png
3029," SN Brussels Airlines V, M SNBRSSLSAIR (V) SNBRU AIR (M)",airlines,static/icons/airlines.png
3030," Aerolineas Argentinas V, M AERO ARGENT (V) AERO ARG (M)",airlines,static/icons/airlines.png
3031," Olympic Airways V, M OLYMPIC AIR (V) OLYMPICA (M)",airlines,static/icons/airlines.png
3032," El Al V, M EL AL",airlines,static/icons/airlines.png
